n,AA,Rg_mean,Rg_std,Ree_mean,Ree_std,CO_mean,CO_std
48,K,4.0135436,2.3744595,10.348519,8.775692,0.28542544823555205,0.0631884781100635
48,L,1.9786319,0.102721944,6.657663,0.55172276,0.34027777777777773,0.0
48,S,1.6257448,0.5859248,3.575615,2.2182226,0.3390372935098017,0.005736747689741571
49,E,1.8437988,0.37681153,5.4250126,1.928384,0.33898488492429,0.006394825045167745
49,G,1.6240268,0.68270797,3.7191436,2.4958434,0.33794538281062503,0.012873616817226324
49,K,4.521757,2.6198637,11.568004,6.9924474,0.26838677904612435,0.0642599215634295
49,L,2.0304532,0.062503785,6.8663907,0.3289219,0.3401360544217687,5.551115123125783e-17
49,S,1.658945,0.6322136,3.7729144,2.3617156,0.33774408586034477,0.010551838112270225
50,E,1.9139209,0.43472472,5.8192434,2.437332,0.33903048698208493,0.007061992147232913
50,G,1.6021887,0.61559606,3.784165,2.620321,0.33853645829347795,0.006303844559946255
50,K,4.483209,2.4537842,11.585983,6.6244793,0.26960004077750316,0.06469451952887903
50,L,2.0750058,0.06266554,7.008812,0.38205862,0.33999999999999997,5.551115123125783e-17
50,S,1.6056325,0.62836355,3.4569955,2.3122408,0.33715955651170537,0.013513130066021242
