n,aa,n_res,n_samples,xi_exp,xi_exp_R2,xi_exp_saturated,xi_exp_A,xi_exp_c,xi_log,xi_log_R2,xi_log_p,pl_alpha,pl_R2,spearman_r,spearman_p
14,K,14,250,235.3376064453119,0.8089593328598127,False,2.0123084483047666,-0.9999999907963318,7.617801748711011,0.5302693758151897,0.004765896237753242,0.017976369800558716,0.5684564378022221,-1.0,0.0
14,L,14,250,2147.350332855988,0.9353259070210282,False,0.8405301129488711,0.16029087981097473,32.352579370182205,0.910962711885816,4.0838247961630207e-07,0.001000001491249168,0.7043556863902041,-0.9945054945054945,3.909411051466979e-12
14,S,14,250,1773.7375940800252,0.997275251075703,False,0.6933233737025302,0.30702867478840795,31.722690896470716,0.9893794046298146,3.2897748364158865e-12,0.0010037343670907556,0.8607241248444124,-1.0,0.0
15,E,15,250,3303.9440773054134,0.9845555021374415,False,2.0008725026630962,-0.9999997099116262,23.21134551975912,0.9589954847600027,1.0916312389584535e-09,0.0014784863966830347,0.8055351075323811,-1.0,0.0
15,G,15,250,1416.028093033666,0.8830814900023589,False,2.0025022220570885,-0.9999999828618749,14.874850876945148,0.7664522179575723,4.095213567670315e-05,0.003287762952268512,0.657456099701875,-1.0,0.0
15,K,15,250,66.90373449427112,0.7370419309908597,False,2.0517620545823467,-0.9999999999999957,6.581851723790693,0.3930507663515999,0.016415814821027837,0.06416557106227888,0.4932555186541572,-1.0,0.0
15,L,15,250,4280.4582404868725,0.9361529741960983,False,2.001089774240405,-0.9999999864885091,28.46959902813803,0.9063716311750295,1.584703609475749e-07,0.0010975801700536453,0.6986865971038141,-0.9956043956043955,1.0315953358848785e-13
15,S,15,250,1314.4037768652802,0.9956164138411571,False,0.5786277623201654,0.42190341864582487,29.206552910725943,0.9853046054825781,2.286402274116165e-12,0.0010925088662848853,0.8429296590225701,-1.0,0.0
16,E,16,250,199.83138295031577,0.661266651456844,False,2.025167842767305,-0.9999999999999999,9.48144700168753,0.3748868920280753,0.01525652456873909,0.02274596942579126,0.4265625034565186,-1.0,0.0
16,G,16,250,1814.351562785925,0.8841824745268325,False,2.0021452178790304,-0.9999999832848524,18.31543773894115,0.7618154573028967,2.1725106806725868e-05,0.0027367545368255607,0.6581409721166428,-1.0,0.0
16,K,16,250,215.91818684956365,0.8385474194140243,False,2.0152264475213024,-0.9999999999999994,8.833424847555726,0.5064242677170376,0.002925133916476199,0.02238547336014207,0.6123741401145388,-1.0,0.0
16,L,16,250,2426.7070425462625,0.9411591733730525,False,1.1169977055348717,-0.11584367289968836,29.38336130646972,0.9117804660061234,3.162911704386272e-08,0.0011462741937464651,0.7013488290550092,-0.9964285714285712,2.4159793199703443e-15
16,S,16,250,1630.2802148252797,0.9992916910944448,False,0.6599561405098224,0.34037316860377487,31.579243327968328,0.9935118000025326,1.3081477981946214e-15,0.001073803547327739,0.8668287446277319,-1.0,0.0
17,E,17,250,521.762432211222,0.6291384004372796,False,2.009870417200203,-0.9999999980519529,13.504129790141707,0.3949969556515429,0.009120200390532698,0.00910171026294085,0.39322794288594154,-1.0,0.0
17,G,17,250,1634.8896378113204,0.9964689718228225,False,1.240269660164058,-0.2393624619053981,20.149605517282822,0.9758314534367126,1.019820287746893e-12,0.002101629123172284,0.8409973177811183,-1.0,0.0
17,K,17,250,125.82796464105255,0.6868337539260392,False,2.0335633158864623,-0.9999999999999257,9.06783601069759,0.3697201500190159,0.012457475680046085,0.03781764086777957,0.44315465530842213,-1.0,0.0
17,L,17,250,3016.650209542137,0.934536744117764,False,2.001833211203421,-0.9999999962559258,23.503291507215135,0.8866496869221008,5.306383449842907e-08,0.0017135765978738041,0.6873789573346795,-0.9970588235294118,5.0655883449921147e-17
17,S,17,250,2254.9736022315938,0.9901412398411802,False,1.3373878759807765,-0.3364790717847381,24.318248172899562,0.9677055123031661,7.784894908792884e-12,0.0016164846492625691,0.8125311987034634,-1.0,0.0
18,E,18,250,233.9135228942522,0.5822744288165378,False,2.0250603516117995,-0.9999999999998259,11.896844656232313,0.3225780119688834,0.01738761449060216,0.02085627249180619,0.3511046313516628,-1.0,0.0
