,n,log_n,sqrt_n,hydrophobicity,hydrophobicity_x_n,hydrophobicity_x_log_n,charge,charge_x_n,charge_x_log_n,mw,mw_x_n,mw_x_log_n,volume,volume_x_n,volume_x_log_n,flexibility,flexibility_x_n,flexibility_x_log_n,abs_charge,cat_PolyX_original,is_homopolymer,is_linker,is_heteropolymer,is_dms,complexity,cat_L1_hydrophobic,cat_linker,cat_HET_BLOCK,cat_HET_ALT,cat_HET_COMP,cat_HET_KAPPA,cat_HET_IDP,cat_DMS_protein,complexity_x_n,hydrophobicity_x_charge,hydrophobicity_abs
condition_number,-4.808849090299151,1.1278075144881898,0.7030583242592334,-0.20142225419611995,1.527393488389107,-1.4920972307652243,-0.20498844469013902,-0.033996646998731374,0.09663320593126708,-3.1711049012962085,3.538565011314276,-1.0325465319199059,3.193702598976427,-1.0517052873198138,0.2705593425954803,-0.5097245069550176,2.6680204221489405,-1.5477688773080067,0.5713776253124346,0.10351385716316452,0.5317854502220619,-0.2686019111917876,-0.37259789854690273,-0.03377718059579065,-0.39308553111455224,0.5024838593945234,-0.26860191119307375,-0.12299451371418045,-0.14670491524553841,-0.17010204924073438,-0.28782256056858274,-0.12171090155337143,-0.03377718059599338,0.733224921915803,0.17584307814160227,-1.8234639483905442
spectral_gap,2.551760150342435,-1.2332409392355563,-1.4318262204106684,-0.17146515243618912,0.21819357604969605,-0.6491949398213468,-0.0166996480720451,-0.11516612377638615,0.0057667805230616105,-0.4987024464933755,-1.0184687890772024,0.18884462882031064,-0.6675337123465034,-1.2252791366030917,2.7640809584531203,-0.4590757753614891,-0.23982089143362773,0.6342598858243251,-0.35645593906744555,-0.031610486849567236,0.05793921518561713,-0.04852666500241626,-0.02498685311415318,-0.013210972657094575,-0.03570129702353235,0.10069609873377641,-0.04852666500215683,-0.04140465094511657,-0.014693049568514182,-0.012486557768646113,0.09884569671840174,-0.029373345624769457,-0.013210972657112083,-0.15199152973167707,0.034697241335682034,-0.05827120569113785
spectral_gap_ratio,5.738616924268542,-0.39756036460082894,-5.808194264561691,-0.36429431760969827,0.08555476554324101,-0.4591254902539698,-0.01794610792309512,-0.0076664532054979044,-0.29418447910609574,-2.002479778945266,-0.5202791016240687,-0.13603859226424242,0.5308252923430069,-1.8913301307771808,3.809246029664856,-1.2226184391506534,-1.2192574360456006,1.9461326233251697,0.014176938024633141,0.03833195057238366,0.2599103500052904,-0.14013169384729507,-0.16495991134311536,-0.06940954626087147,-0.1880149399570211,0.2587246617227658,-0.14013169384681984,-0.12113107885361568,-0.10545651771248586,0.006164525368899485,0.05680414388175814,-0.09051768923842532,-0.06940954626127327,-0.16318704435169704,0.017206516061511558,-1.1116356967419423
fisher_trace,-0.8892057632537574,-0.16387400822158946,0.8009354915285233,0.0034542218866420206,0.05351236417028926,-0.0506950244117688,-0.004513237611593797,-0.015179341661050944,0.02329335813312185,-0.016533343464576414,0.21380091086722436,-0.09081188289082172,0.04250155053209204,0.04660264071784533,-0.0910946354236757,0.020532030523166534,0.26266889654834674,-0.1803627768191314,0.0007770407387209125,-0.0005925048725754782,-0.0012438612096892401,-0.0195002218318651,-0.06382289724196696,0.38418393999861156,0.05129806572555256,-0.0007999353131505273,-0.01950022183170901,-0.011010765930773297,-0.01076981441134489,-0.03369396554718002,-0.03756992853220103,-0.03928168222530799,0.384183940001836,0.09038275035360356,0.004468187904979204,0.00032555104024727837
fisher_logdet,1.4821026771687391,-0.3279928825234884,-0.7995423535324152,0.09670728558891596,-0.2022154291050077,0.1798862966608533,0.03764319443797821,0.04760377075344773,-0.056984737776519884,0.3440689682501237,-0.5126280123510066,0.2992081879961678,-0.49126900369993387,-0.10807950602761454,0.17472863772483713,-0.04959593264327361,-0.6418845128303149,0.5295423863061345,0.003994395473403547,-0.005704502751816343,-0.0469015009237371,0.05436604790277231,0.09246683011855261,-0.39272856584639154,-0.0257914396126048,-0.04798667694520672,0.05436604790261409,0.022029162304537296,0.02469198930287934,0.06124322156008483,0.07714662051916286,0.033124583880120156,-0.3927285658442991,-0.1562042285850549,-0.03779698605677452,0.16987178325523583
mean_mi_pc3,1.0251427574380219,-0.987611122217035,-0.4682582806499103,0.07775263876006538,-0.642324049183669,1.1590322830296327,0.13346814666800424,-0.26631943462938235,0.03637280394131851,0.1632770309989473,-1.507751229536694,1.2942465324435237,-0.8964132839795884,0.3073987568887823,0.5257380292086623,-0.013340615555494954,0.16270062685772868,0.11414918405109317,0.4319145681390183,0.09966312456543566,-0.0025182018658134343,0.004695848288386918,-0.010391299147655504,0.047490590362286894,-0.027379926738084582,-0.10968033535913023,0.004695848288554182,0.08977334569768909,0.032558079818153514,0.015710735669493537,-0.08104407997386083,-0.06600855272297322,0.0474905903622558,0.20937664008865203,-0.1551309075240725,-0.28342685918856886
js_divergence,2.6578060275764335,-1.8019331444308786,-0.9699085830933706,-1.3633476422263116,0.06104255415380234,0.8357722448514321,-0.48594705263200294,-0.13036950418156654,0.9619403081074281,-2.1556057264931447,1.018947097307309,2.5007667414766166,2.701739853614809,-1.2978811254249547,-2.211268669083889,-0.486774575061464,-2.0982498148550306,2.169463276849975,-0.4932470612032641,0.008395971484996817,-0.022844867797591244,0.015168643021887977,0.011043569552407581,0.013080687581958728,-0.0022414997036917374,-0.03534545497174862,0.01516864302165862,0.08866944204261144,-0.00767845139381878,0.010919275416122894,-0.016578644745501803,-0.03355347095004146,0.01308068758145304,0.014608105464009109,0.5102595494901544,0.31213996458745485
effective_diffusion,-2.590595539442969,-2.6085425156705386,3.8726341518051957,-0.15434198991837267,0.12387936715487456,0.27724029317963444,-0.08259007126665326,0.27494975775571767,-0.1467964056380146,-2.6929025155302666,-0.23230731426075518,4.371388894022598,2.677401026744111,0.3888798128339313,-3.8195468855170067,0.1212426932616871,0.4743716566398169,-0.46003313834903736,0.3973194511521727,-0.004535936412777818,0.05997480990336855,0.00167235158734988,-0.06692969491742722,0.0071695859283915754,-0.051499344739653154,0.07403727967523564,0.0016723515872452514,-0.040296466924781296,-0.07032909919649143,0.054893696244100884,0.019346139839189255,-0.04425778582394524,0.00716958592841105,0.06831165831286219,0.06239987634969718,-0.2511605440320071
relaxation_time,-1.2653948818379677,-1.8045846593036348,3.810607579784849,0.7371643537847532,-0.06466403563854808,0.7393958421887327,-0.03685685583708645,-0.058728618165847034,0.3643842921944297,1.3059991234798893,0.40551298589636575,2.2267386485855933,-0.5168359075539954,-0.06701784424008313,-3.533478955432309,0.5015207233751473,-0.984992397231788,0.3691358937563106,0.23544904959452323,-0.019091991774936833,-0.31133544397522156,0.17050703114003304,0.22906710055373733,-0.0790752843960895,0.2039845984648094,-0.3386537125829139,0.17050703114045646,0.1325690048138272,0.09979680157136987,0.056347159299130235,0.09997552206303982,0.08306634986083145,-0.07907528439587605,-0.2521820506762714,0.024907722338127432,0.8304374588450107
lyapunov_proxy,-2.595405251740655,0.20079609075034355,1.964433222660688,-0.7997752924003987,0.11697600845952426,-0.21125692438914814,-0.22662360971131068,-0.3705067799144568,0.6553376365097572,-0.9386250996331589,-0.7827844725614895,0.5678409532070863,1.0294177894594725,1.0280332929330867,-0.5703707376497344,0.51398334931378,1.646589111452436,-1.8428291591610708,-0.513131584229525,-0.008764510260790281,0.11593445816859665,-0.06195864570370117,-0.07369388596303707,-0.03230139458034355,-0.08208208834004009,0.14311399397570607,-0.06195864570434797,-0.0846230798496411,-0.01165128079807077,-0.030637910335468806,0.011742819855250561,-0.02619201960176349,-0.032301394580295274,0.055298780765480504,0.25227281492219955,0.021703894645254584
convective_ratio,-2.624150899071934,-2.587408614560683,3.929087993592906,-0.17564902762510742,0.13190498455506286,0.26393456090070355,-0.09514985455765365,0.2698605505002182,-0.12292326124634416,-2.7063221861950457,-0.20419308035392317,4.292287444197886,2.6964491008514657,0.34873453643206026,-3.7441926443591957,0.1369504302981322,0.49084536166286036,-0.5102724593010853,0.3909500363579413,-0.0048791347351845584,0.06469141507059256,-0.0017715562572299586,-0.06949892974860451,0.006951615761875082,-0.0538667113201083,0.07984531429515979,-0.0017715562574388483,-0.04233673926089462,-0.0726327938446727,0.05349668187920115,0.01844022014613711,-0.04381463136576097,0.006951615762175772,0.06547016409155257,0.07526557781322157,-0.2652754214408024
contact_order,-3.058473289525495,1.784288078933382,1.2879244561283132,0.19414480286757854,0.28247141901048095,-0.45475857045372564,-0.050500255155073163,-0.0935981284634743,0.18765532105676014,0.18638047755090265,1.0419379641710047,-0.905366646794474,0.3149708094617109,0.3792627104695706,-0.6716433700712436,0.45583392898077163,1.452051181476161,-1.5566745241013982,0.0022198038559463635,-0.0012558114369018187,-0.0020460767743841557,-0.0564417436493436,-0.045864503118992934,0.4283490706852104,0.09691465943137675,-0.0010146022741572647,-0.056441743649663756,-0.007308737572721051,-0.004325941761179687,-0.14287841860508557,-0.15316743600973337,0.0673596247023345,0.4283490706785302,0.2982675675377133,0.05032347982619932,-0.00017932635585728648
clustering_coeff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
modularity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
betweenness_cv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
